0: M1=0.966755 M2=0.417227 M3=0.0437154 M4=0.0325907
1: M1=0.449509 M2=0.504981 M3=0.206043 M4=0.0122407
2: M1=1.1078 M2=0.900093 M3=0.504099 M4=0.0765171
4: M1=0.845246 M2=0.327932 M3=0.0252002 M4=0.0205848
5: M1=0.93091 M2=0.482957 M3=0.105037 M4=0.0320528
6: M1=1.28347 M2=0.547374 M3=0.118681 M4=0.0452345
7: M1=0.752351 M2=0.626422 M3=0.220091 M4=0.0430782
8: M1=0.86469 M2=0.330753 M3=0.0320642 M4=0.0193333
9: M1=0.795101 M2=0.39369 M3=0.0449004 M4=0.0275228
d: M1=1.20863 M2=0.511907 M3=0.046323 M4=0.0539314
e: M1=1.47268 M2=0.538303 M3=0.088496 M4=0.0503185
f: M1=1.45702 M2=0.723861 M3=0.234726 M4=0.0723124
g: M1=1.30127 M2=0.542995 M3=0.0717781 M4=0.0557664
j: M1=0.665775 M2=0.760715 M3=0.483609 M4=0.0237694
k: M1=0.991621 M2=0.415125 M3=0.0478881 M4=0.0311101
p: M1=1.19109 M2=0.469121 M3=0.0561131 M4=0.0409904
r: M1=1.55439 M2=0.449735 M3=0.0356724 M4=0.0416473
s: M1=1.06562 M2=0.492559 M3=0.0797118 M4=0.0407257
v: M1=1.14199 M2=0.452185 M3=0.0674476 M4=0.034256
w: M1=1.48314 M2=0.318866 M3=0.0130609 M4=0.0221537
x: M1=1.41127 M2=0.62788 M3=0.16414 M4=0.0575232
y: M1=0.828904 M2=0.462661 M3=0.0721478 M4=0.0354767
