0: W3=1.18744, M1=0.417213, M7=0.0325613
1: W3=0.662751, M1=0.506606, M7=0.0122677
2: W3=1.43007, M1=0.898395, M7=0.0763424
4: W3=0.972754, M1=0.328452, M7=0.0206313
5: W3=1.08214, M1=0.482661, M7=0.0320361
6: W3=1.37848, M1=0.547658, M7=0.045196
7: W3=0.967253, M1=0.626716, M7=0.0430992
8: W3=1.10701, M1=0.330427, M7=0.019312
9: W3=0.991367, M1=0.393874, M7=0.0275374
d: W3=1.53657, M1=0.51167, M7=0.0537948
e: W3=1.69278, M1=0.538385, M7=0.0503157
f: W3=1.65058, M1=0.725055, M7=0.0724446
g: W3=1.45695, M1=0.542676, M7=0.0557092
j: W3=0.983657, M1=0.747875, M7=0.0236478
k: W3=1.24481, M1=0.414919, M7=0.0311202
p: W3=1.38931, M1=0.469338, M7=0.0410156
r: W3=1.67404, M1=0.45004, M7=0.0417077
s: W3=1.32484, M1=0.492627, M7=0.0406957
v: W3=1.23443, M1=0.452572, M7=0.0342689
w: W3=1.57783, M1=0.319278, M7=0.0221957
x: W3=1.59448, M1=0.628282, M7=0.0576094
y: W3=0.929765, M1=0.463771, M7=0.0355559
